,omic2_tissue1_B1_f0,omic2_tissue1_B1_f1,omic2_tissue1_B1_f2,omic2_tissue1_B1_f3,omic2_tissue1_B1_f4,omic2_tissue1_B1_f5,omic2_tissue1_B1_f6,omic2_tissue1_B1_f7,omic2_tissue1_B1_f8,omic2_tissue1_B1_f9,omic2_tissue1_B1_f10,omic2_tissue1_B1_f11
omic1_tissue1_A1_f0,-0.017624687885898844,-0.016531409284509236,0.0009107864310387775,0.01079494168397001,-0.1859441085896103,-0.01819675665782106,-0.013764162409147645,-0.2922036948084511,-0.1609234641221822,-0.022591969364792096,0.00019838814920296433,-0.23199205919976548
omic1_tissue1_A1_f1,-0.08434602877865428,0.01839028698972068,0.09116849325579301,-0.002192291169922237,-0.0187573290823658,-0.017791857041200877,-0.01032408650419912,-0.015099957026213242,0.10123567540141669,-0.01974835667859865,0.026701535525662158,-0.06640913021606705
omic1_tissue1_A1_f2,0.01577238031495133,0.006823811374903022,-0.005221153483495589,0.0029140615981941872,0.28281991877731144,-0.08817696555496572,0.07607806898053943,-0.03394773407665764,-0.020364154698117056,-0.05981629749378241,0.009455597692412299,0.006554382412546906
omic1_tissue1_A1_f3,-0.006049160519293031,0.013789744817478026,-0.0775921736764022,0.045306330333888756,0.00420516422988089,-0.010565213828609492,-0.006508566426058178,-0.14201673419030356,-0.01933620107878139,0.14246193293343784,0.15034804353821973,-0.004890089121046763
omic1_tissue1_A1_f4,0.15863405435674596,0.5139001789201645,0.0018935517129562418,-0.016597862971789844,-0.026808786254621325,0.004623385344141925,0.003130191401050002,-0.4400160916893089,0.0104182565528639,-0.009730670733899181,0.23509815483970178,-0.007022874788588364
omic1_tissue1_A1_f5,-0.038314770822125525,-0.013737920721805855,0.01310548887069684,0.018453937068703727,0.3084747147777557,0.000385170534337714,-0.011523595647298915,-0.05797142297902192,-0.33542657146050037,-0.11959679124977339,0.06990671898657168,0.031898911149535226
omic1_tissue1_A1_f6,-0.31683413028659657,0.020060534096551747,-0.12642353534726652,0.024042338271248912,0.014626310078422466,-0.12418315677330805,-0.02132891549212006,0.09923268410216804,-0.003398688958515224,-0.01073743230106885,-0.05554442382138436,0.06845923352323552
omic1_tissue1_A1_f7,-0.016603245968472447,0.059955828886335744,0.01539898643996107,-0.2914654015006372,-0.1677225287567118,-0.02850831490815178,0.03137762011326745,-0.00021682958335774287,-0.008153528051645658,-0.0005653246118557122,-0.18510976653198272,-0.009624042175734334
omic1_tissue1_A1_f8,-0.11109178810510703,-0.0017208318336469099,-0.19501652984086953,-0.017057143499927846,0.004044192670364686,-0.10240758754695074,-0.012379292135836674,-0.01575604846664719,-0.004388382296325745,0.05353091302915587,0.20455520748865536,-0.07007570099751945
omic1_tissue1_A1_f9,-0.015403656547508963,-0.02286828197365035,0.006995196522389139,0.20936229093247247,0.03447941090878337,0.28279991196698473,-0.0031566250097137963,-0.003477547089169363,0.0264829697500627,-0.3675774423889285,0.05132330002354241,-0.03270234116718919
omic1_tissue1_A1_f10,0.01340664752088399,-0.18329310967997162,0.0004821415366899224,0.03250597140406754,0.0530640863547621,-0.10752805250392974,-0.031095753830667927,0.016943822644886402,0.00485343848552622,0.014316176995432552,0.11612007708869168,0.11940918151841264
omic1_tissue1_A1_f11,-0.1810215234134228,-0.04192197921735033,-0.21905254038616676,0.017937947254014125,0.00040572976894852363,0.1795142785214625,-0.004747329834595478,0.006295198080412927,-0.07135378358633412,0.020505146670414205,0.08163661511734309,0.08188020909481741
