,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue1_A1_f0,-0.004403278441543799,-0.15490602963904992,0.0163134923926375,0.06642375671119033,-0.0030865642280191196,-0.31623960968428405,-0.01564158086054365,0.25800965418679284,0.01720957028446487,0.0575736422957302,0.014476111604146026,-0.014025393000279555
omic1_tissue1_A1_f1,0.20990137662078592,0.0014454091201977109,-0.02052099347134685,0.036619549514106384,-0.20184067130285144,-0.001183650512103106,-0.027227760752270864,0.0048673888854187585,0.02022049657671436,0.009885957836644529,-0.07110894405415989,-0.01306985227687723
omic1_tissue1_A1_f2,0.06187395596197892,0.02199041236057224,-0.047870918320105184,0.09964238742922588,-0.018550921406514837,0.13811454609951446,-0.017057531661523545,-0.027683023868673915,0.013030443417596562,0.010101882952046014,0.006420424174158541,0.008129321347092724
omic1_tissue1_A1_f3,-0.0116637257542115,-0.010745705508140161,-0.012635459567584618,-0.050514306159747904,-0.009438507787991776,0.00016619691620326188,-0.3168687107030516,-0.02098957711090049,-0.0061187938256178,-0.029789716276840718,0.17023895723294694,0.049454629968122374
omic1_tissue1_A1_f4,-0.016058639788516977,0.2503512871794604,-0.03615882249323881,-0.001495429843537415,-0.024565180196430936,-0.012914841346001573,0.0023210459806101203,0.03824351991347228,-0.0019853283859897217,-0.17792904485649477,-0.18134255739819793,0.04294765553394397
omic1_tissue1_A1_f5,0.003937831166323004,0.7583638465807018,-0.07188102140614551,0.17598058164951028,0.07248944239227538,-0.1897957411901247,-0.007428834850215001,-0.14835398956726265,-0.003483107676027168,-0.07238427829668476,-0.08106995416294017,-0.08834946164465347
omic1_tissue1_A1_f6,0.04409927200110146,0.25423932567500224,0.20260750366027488,-0.018192117989495438,0.0707307461866323,0.00448271316984588,-0.011385718820491312,-0.18189303393692105,-0.0320488841488552,-0.004622457423555742,-0.027610597968275443,0.008740968599271441
omic1_tissue1_A1_f7,-0.08282635830317335,0.03519610290116509,0.00652858931040783,-0.03464579139029057,-0.006025357791339932,-0.06288410208870719,-0.08630329154671815,-0.0009870510850663724,-0.10717189609312036,0.0018357860100154868,0.25939171720047144,-0.028939911105156108
omic1_tissue1_A1_f8,0.007505357586014965,-0.01252127271216842,-0.07677392043551581,-0.013636017137232863,-0.03458310175489282,-0.4501411981114898,0.01949582745326088,-0.13030519544371486,-0.3277875132973629,0.00970819334361423,0.21415902015656937,-0.02866380376865632
omic1_tissue1_A1_f9,0.012318621333902236,0.009103826744847885,-0.01043550710732025,-0.03354537480965499,0.038127820469185114,-0.15732248057195364,-0.01700869124360384,-0.1979402293883563,-0.37275700277996704,0.036595300914818045,-0.00399767495837263,0.004467286884823029
omic1_tissue1_A1_f10,-0.016923727183048066,-0.018986466460536276,-0.007579486219107705,-0.01171668225431843,0.04682172691451063,-0.30353157325238567,-0.02774774034165269,-0.006461727315132969,-0.03524435855794634,-0.0005523207107766308,0.11036076242077505,-0.005974838487295491
omic1_tissue1_A1_f11,0.16258623731679303,-0.4469757030924261,-0.01232901939188158,-0.10400441968150206,0.02000283685936848,0.014528637692404239,-0.01182631107267538,-0.02423117853283267,-0.14979533223873598,-0.0034640697128352415,-0.0068859115662035005,0.421908194994279
