,omic1_tissue1_A1_f0,omic1_tissue1_A1_f1,omic1_tissue1_A1_f2,omic1_tissue1_A1_f3,omic1_tissue1_A1_f4,omic1_tissue1_A1_f5,omic1_tissue1_A1_f6,omic1_tissue1_A1_f7,omic1_tissue1_A1_f8,omic1_tissue1_A1_f9,omic1_tissue1_A1_f10,omic1_tissue1_A1_f11
omic1_tissue1_A1_f0,0.0,0.0,-0.0360576375910841,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
omic1_tissue1_A1_f1,0.0,0.0,0.08461920511436785,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
omic1_tissue1_A1_f2,-0.0360576375910841,0.08461920511436785,0.0,0.261700024778916,0.0,0.2219346630442139,-0.0,-0.0,0.0,0.0,0.0,-0.0
omic1_tissue1_A1_f3,0.0,-0.0,0.261700024778916,0.0,-0.0,-0.0,0.09546292744779256,-0.019843928245796033,-0.0,0.0,-0.06271139283543553,0.0
omic1_tissue1_A1_f4,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
omic1_tissue1_A1_f5,0.0,-0.0,0.2219346630442139,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
omic1_tissue1_A1_f6,0.0,0.0,-0.0,0.09546292744779256,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
omic1_tissue1_A1_f7,-0.0,0.0,-0.0,-0.019843928245796033,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
omic1_tissue1_A1_f8,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
omic1_tissue1_A1_f9,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
omic1_tissue1_A1_f10,0.0,-0.0,0.0,-0.06271139283543553,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
omic1_tissue1_A1_f11,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
