,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic2_tissue2_B2_f0,0.0,0.09170731595999637,0.01658244936526093,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
omic2_tissue2_B2_f1,0.09170731595999637,0.0,0.0,0.0,-0.0,0.0,0.0,0.0024149295331868936,0.0,-0.0,0.0,-0.0
omic2_tissue2_B2_f2,0.01658244936526093,0.0,0.0,0.0,0.0,0.08849993616514881,0.0,-0.04268137911100228,0.09338178225858018,-0.0,-0.0,0.4041709140861947
omic2_tissue2_B2_f3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.07557273729486286,0.23841643528653633,0.057808799304999936,0.0
omic2_tissue2_B2_f4,0.0,-0.0,0.0,0.0,0.0,0.0,0.06763614270213925,0.04335836265338,0.0,-0.0,0.0,0.0
omic2_tissue2_B2_f5,0.0,0.0,0.08849993616514881,0.0,0.0,0.0,-0.0,0.02637081893779153,0.0,-0.0,0.0,-0.0
omic2_tissue2_B2_f6,-0.0,0.0,0.0,0.0,0.06763614270213925,-0.0,0.0,0.14827877202375178,-0.0,0.0,0.0,-0.0
omic2_tissue2_B2_f7,0.0,0.0024149295331868936,-0.04268137911100228,-0.0,0.04335836265338,0.02637081893779153,0.14827877202375178,0.0,0.10344957068176164,0.0,-0.04506791777386995,0.0
omic2_tissue2_B2_f8,0.0,0.0,0.09338178225858018,0.07557273729486286,0.0,0.0,-0.0,0.10344957068176164,0.0,-0.0,0.0,0.0
omic2_tissue2_B2_f9,0.0,-0.0,-0.0,0.23841643528653633,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
omic2_tissue2_B2_f10,0.0,0.0,-0.0,0.057808799304999936,0.0,0.0,0.0,-0.04506791777386995,0.0,0.0,0.0,-0.0
omic2_tissue2_B2_f11,0.0,-0.0,0.4041709140861947,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
