,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue1_A1_f0,-0.004461878712021566,-0.022100892256134128,0.016328114568820287,0.014440899139275667,-0.0031026302642056915,-0.3163593737667214,-0.01561064534873584,0.2584212624441392,0.017184659119264728,0.057656890033495285,0.014346408175310174,-0.013879655899206044
omic1_tissue1_A1_f1,0.10216837140057033,0.00143757350984778,-0.020458953677278985,0.036525647061473515,-0.202005895311372,-0.0012384467400453538,-0.02720164515640601,0.004919818798725084,0.020200962068995652,0.009789848597189899,-0.07122115717391053,-0.013002175360902778
omic1_tissue1_A1_f2,0.061938129567979054,0.03622568982696594,-0.04775230181011557,0.10002971013300256,-0.018646036960099886,0.13824426137097096,-0.017255452729867504,-0.027678553182049703,0.013085717281594932,0.009937449501445742,0.006421669095155111,0.008147724292874043
omic1_tissue1_A1_f3,-0.011619722386224177,-0.01082872899966844,-0.012717225236819826,-0.050776015015724506,-0.009419116697332856,8.90371242475783e-05,-0.2132033077714714,-0.02112982821520817,-0.006103638871852621,-0.06606072833913379,0.16472729452109794,0.04936469421330278
omic1_tissue1_A1_f4,-0.016121658727735577,0.1547225539247201,-0.03622067533342398,-0.0016626706833733178,-0.024713411967908654,-0.012966129607682536,0.002182454312521828,0.038243056608289236,-0.0020387762476687275,-0.17801284162540854,-0.18153870631650076,0.04299656229581164
omic1_tissue1_A1_f5,0.003828458258055563,0.33177476687693586,-0.07198461532275482,0.16055954736899833,0.07257207093880819,-0.18994763570929213,-0.00734847555546992,-0.14868909333824043,-0.003495816358673449,-0.07243000096400737,-0.0811941639764643,-0.0884785658269922
omic1_tissue1_A1_f6,0.04424656396577799,0.25457405555598805,0.20273877019001535,-0.01790445347512743,0.07087817917807206,0.004503327606011909,-0.011227197693413245,-0.18203798468678503,-0.031956549846027214,-0.004544696157093464,-0.02737384093169836,0.008603919409723756
omic1_tissue1_A1_f7,-0.08294913539408821,0.03504486123481897,0.006475958851437912,-0.034879003199736344,-0.005981293146052493,-0.06289506166845513,-0.08631620737413703,-0.0009316195851222497,-0.10732348698554219,0.0018398967331428664,0.23080666905740999,-0.02878865511730517
omic1_tissue1_A1_f8,0.007554473005869171,-0.012394400084843176,-0.07674530154934918,-0.013645293152453787,-0.03451817728196551,-0.1149459519849684,0.019518439869168583,-0.13044007834027768,-0.03742146022861316,0.009691329882570075,0.15448190096255837,-0.028682505357272986
omic1_tissue1_A1_f9,0.012311255174854414,0.009118795281911018,-0.010484080741325756,-0.03357080227973755,0.037999945021000986,-0.1574692784500992,-0.017057087201771785,-0.19886215720935874,-0.17126061113734212,0.03650745525187861,-0.004017816612631285,0.0043122983054038975
omic1_tissue1_A1_f10,-0.01683658910635386,-0.01893039133375676,-0.007498161474951765,-0.01183274712134873,0.04684612210241382,-0.2517139185587285,-0.02763844332658708,-0.006390606237660028,-0.03526839739386949,-0.0004893081488705222,0.11057369701282853,-0.005988336594243764
omic1_tissue1_A1_f11,0.16292862549843823,-0.1956144425762413,-0.012246695476328603,-0.10405239322037932,0.020172638181295523,0.014472665258480047,-0.011603504806862347,-0.024257522405805067,-0.14971839099733308,-0.0033998884683285892,-0.006821250873803122,0.3398824457349886
