source,target,weight,abs_weight
omic2_tissue1_B1_f0,omic1_tissue2_A2_f1,0.009825592950505446,0.009825592950505446
omic2_tissue1_B1_f0,omic1_tissue2_A2_f9,0.09582841830088012,0.09582841830088012
omic2_tissue1_B1_f0,omic1_tissue2_A2_f10,0.07523790238252837,0.07523790238252837
omic2_tissue1_B1_f1,omic1_tissue2_A2_f7,0.17138305846852758,0.17138305846852758
omic2_tissue1_B1_f3,omic1_tissue2_A2_f8,0.13584347737324676,0.13584347737324676
omic2_tissue1_B1_f5,omic1_tissue2_A2_f10,0.19794808008500497,0.19794808008500497
omic2_tissue1_B1_f6,omic1_tissue2_A2_f6,0.1186763488403659,0.1186763488403659
omic2_tissue1_B1_f7,omic1_tissue2_A2_f2,0.005640167490071041,0.005640167490071041
omic2_tissue1_B1_f7,omic1_tissue2_A2_f3,0.09938307494070797,0.09938307494070797
omic2_tissue1_B1_f7,omic1_tissue2_A2_f4,0.1481950345390762,0.1481950345390762
omic2_tissue1_B1_f7,omic1_tissue2_A2_f9,-0.04025417726993191,0.04025417726993191
omic2_tissue1_B1_f9,omic1_tissue2_A2_f2,0.13092349446231688,0.13092349446231688
omic2_tissue1_B1_f9,omic1_tissue2_A2_f3,0.1377263453669808,0.1377263453669808
omic2_tissue1_B1_f9,omic1_tissue2_A2_f5,-0.059915489725547055,0.059915489725547055
omic2_tissue1_B1_f9,omic1_tissue2_A2_f6,-0.05906370722313481,0.05906370722313481
omic2_tissue1_B1_f10,omic1_tissue2_A2_f1,0.21811110437904668,0.21811110437904668
omic2_tissue1_B1_f10,omic1_tissue2_A2_f2,0.07849113819360626,0.07849113819360626
omic2_tissue1_B1_f11,omic1_tissue2_A2_f10,0.020929354632610322,0.020929354632610322
