source,target,weight,abs_weight
omic1_tissue1_A1_f0,omic1_tissue1_A1_f2,-0.0360576375910841,0.0360576375910841
omic1_tissue1_A1_f1,omic1_tissue1_A1_f2,0.08461920511436785,0.08461920511436785
omic1_tissue1_A1_f2,omic1_tissue1_A1_f3,0.261700024778916,0.261700024778916
omic1_tissue1_A1_f2,omic1_tissue1_A1_f5,0.2219346630442139,0.2219346630442139
omic1_tissue1_A1_f3,omic1_tissue1_A1_f6,0.09546292744779256,0.09546292744779256
omic1_tissue1_A1_f3,omic1_tissue1_A1_f7,-0.019843928245796033,0.019843928245796033
omic1_tissue1_A1_f3,omic1_tissue1_A1_f10,-0.06271139283543553,0.06271139283543553
