source,target,weight,abs_weight
omic2_tissue1_B1_f0,omic2_tissue2_B2_f2,0.04183655888306845,0.04183655888306845
omic2_tissue1_B1_f0,omic2_tissue2_B2_f8,0.15364540614175914,0.15364540614175914
omic2_tissue1_B1_f1,omic2_tissue2_B2_f0,0.2327851870592929,0.2327851870592929
omic2_tissue1_B1_f1,omic2_tissue2_B2_f4,0.04915802313506684,0.04915802313506684
omic2_tissue1_B1_f1,omic2_tissue2_B2_f7,0.10786929458421063,0.10786929458421063
omic2_tissue1_B1_f2,omic2_tissue2_B2_f8,0.20039589123007573,0.20039589123007573
omic2_tissue1_B1_f2,omic2_tissue2_B2_f9,0.28182898439208015,0.28182898439208015
omic2_tissue1_B1_f3,omic2_tissue2_B2_f4,0.07524471962579443,0.07524471962579443
omic2_tissue1_B1_f4,omic2_tissue2_B2_f1,-0.026025309556221232,0.026025309556221232
omic2_tissue1_B1_f5,omic2_tissue2_B2_f9,0.0013017145494345905,0.0013017145494345905
omic2_tissue1_B1_f6,omic2_tissue2_B2_f1,0.10733145424894838,0.10733145424894838
omic2_tissue1_B1_f6,omic2_tissue2_B2_f6,0.06079385368343615,0.06079385368343615
omic2_tissue1_B1_f7,omic2_tissue2_B2_f9,0.007970787038353772,0.007970787038353772
omic2_tissue1_B1_f8,omic2_tissue2_B2_f11,0.22511838502572862,0.22511838502572862
omic2_tissue1_B1_f9,omic2_tissue2_B2_f6,-0.008097553425568546,0.008097553425568546
omic2_tissue1_B1_f10,omic2_tissue2_B2_f2,0.057426874734214234,0.057426874734214234
omic2_tissue1_B1_f10,omic2_tissue2_B2_f4,0.0031956396803194675,0.0031956396803194675
omic2_tissue1_B1_f10,omic2_tissue2_B2_f6,0.07416971797725425,0.07416971797725425
omic2_tissue1_B1_f11,omic2_tissue2_B2_f7,0.03475578876972785,0.03475578876972785
