,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue1_A1_f0,-0.004294052905690524,-0.1550121656295965,0.016233119486538647,0.01782219862164326,-0.0031405944216294653,-0.14466007922906518,-0.081608845707395,0.21764175234651073,0.0172036618688701,0.05753599615502726,0.0144926980999185,-0.014103116884990073
omic1_tissue1_A1_f1,0.09020795075418983,0.0012908998542516532,-0.13193526142547074,0.036639329356222654,-0.1635103031152598,-0.0012277042227807392,-0.027105795466582934,0.004859500951829937,0.048349101838925726,0.009820816395949982,-0.0711281638281891,-0.01308680466702015
omic1_tissue1_A1_f2,-0.006399217518241331,0.02183743684908461,-0.04788873012443751,0.08692620589324535,-0.018278783057286512,0.11834308251235318,-0.01689067053533018,-0.027591018670345677,0.05273030512882686,0.010065728217077803,0.006391198264949503,0.007975376800112975
omic1_tissue1_A1_f3,-0.011989280903202334,-0.010405968393596414,-0.01323115214193698,-0.04998749475142147,-0.00931998965243614,-0.036204942395466365,0.0891288672335851,-0.021025669094997312,-0.08264279905461347,-0.030079464182129152,-0.042156541290526796,-0.04766800674626247
omic1_tissue1_A1_f4,-0.015917107956175403,0.2062818531287861,-0.03578574611804251,-0.0018478611420857383,0.057751004896836246,-0.012878633549177461,0.0024487945861599233,0.038201005569777985,0.12581808331289251,-0.13126453415659187,-0.18158878878828938,0.04293294538476028
omic1_tissue1_A1_f5,0.003999717967229383,0.32970649864341306,-0.07166328359900503,0.1760013670851683,0.0726859620596951,-0.10304545483641939,-0.007297360310889046,-0.14836536458234545,-0.0035372899390595037,-0.07230284299204154,-0.08114763086434003,-0.07460681676453348
omic1_tissue1_A1_f6,-0.06608260602989041,0.1287487085063398,0.18849415583809065,-0.018007750293379934,0.07092182503608455,0.004453299857397328,-0.011477835586777396,-0.1230748655979373,-0.032023883705923746,-0.004755308563644537,-0.02742304109730535,0.008753410211920859
omic1_tissue1_A1_f7,-0.0828829974708666,0.035118015424811314,0.006546200283867502,-0.034857416292143215,-0.005994813289315638,-0.06290846332571554,-0.08643998152202877,-0.0009779681768822325,-0.06773112727446617,0.0019412435130204764,0.16515664992071544,-0.02894416582115415
omic1_tissue1_A1_f8,0.007548888074860812,-0.012336828147094987,-0.07680547947939043,-0.013677880879612738,-0.03447688232275773,-0.3004314489425831,0.01946582570314875,-0.13032786834574683,-0.07432553745887599,0.009676693569933979,0.15337150334314725,-0.07233914674151289
omic1_tissue1_A1_f9,0.012294410620822009,0.009093975295267774,-0.010509112963614535,-0.033419691386158135,0.038101502677317815,-0.15739924578480233,-0.017257393566542514,-0.1984989104801803,-0.24945535887953246,0.03649492552151813,-0.0038569526864719378,0.004412570809355522
omic1_tissue1_A1_f10,-0.016658727798147782,-0.019003669824792412,-0.0072080729978356035,-0.012030593676912692,0.04683660796058978,-0.14694236965907426,-0.027652948476996772,-0.006356518093332352,-0.012242450308442348,-0.00041148070378101663,0.11063322144491029,-0.005942859651837981
omic1_tissue1_A1_f11,0.16278511569926585,-0.34236788724841877,-0.01254265058526445,-0.10380806093383937,0.02005096758309867,0.014611878605459127,-0.011809117102247696,-0.024233861856977283,-0.14990878160264998,-0.0035937662633595646,-0.006850413982689553,0.07208307344833276
